threshold,n_pairs,n_raw_isolate_pairs,n_dropped_in_join,n_components,largest_pct,second_pct,p99_cumpct,p90_cumpct,top5_pct,singleton_components,feasible_8010
1.0,83331,108530,0,50437,2.88,1.12,99.0,90.0,"[2.88, 1.12, 1.05, 1.0, 0.99]",43012,True
0.99,83331,108530,0,6129,59.73,16.37,99.0,90.0,"[59.73, 16.37, 3.28, 0.46, 0.23]",4215,True
0.95,83331,108530,0,89,99.14,0.43,99.14,99.14,"[99.14, 0.43, 0.1, 0.04, 0.04]",42,False
0.9,83331,108530,0,11,99.54,0.43,99.54,99.54,"[99.54, 0.43, 0.01, 0.01, 0.0]",3,False
0.85,83331,108530,0,4,99.99,0.0,99.99,99.99,"[99.99, 0.0, 0.0, 0.0]",1,False
0.8,83331,108530,0,3,100.0,0.0,100.0,100.0,"[100.0, 0.0, 0.0]",1,False
