threshold,n_pairs,n_raw_isolate_pairs,n_dropped_in_join,n_components,largest_pct,second_pct,p99_cumpct,p90_cumpct,top5_pct,singleton_components,feasible_8010
1.0,53078,108530,0,14894,38.37,15.89,99.0,90.0,"[38.37, 15.89, 1.09, 0.95, 0.54]",12344,True
0.99,53078,108530,0,3601,87.14,0.3,99.0,90.01,"[87.14, 0.3, 0.27, 0.25, 0.24]",2949,False
0.95,53078,108530,0,4,99.99,0.0,99.99,99.99,"[99.99, 0.0, 0.0, 0.0]",1,False
0.9,53078,108530,0,2,100.0,0.0,100.0,100.0,"[100.0, 0.0]",1,False
0.8,53078,108530,0,2,100.0,0.0,100.0,100.0,"[100.0, 0.0]",1,False
