threshold,n_pairs,n_raw_isolate_pairs,n_dropped_in_join,n_components,largest_pct,second_pct,p99_cumpct,p90_cumpct,top5_pct,singleton_components,feasible_8010
1.0,58826,108530,0,21605,20.2,7.18,99.0,90.0,"[20.2, 7.18, 4.67, 3.71, 1.3]",17565,True
0.99,58826,108530,0,4066,80.0,0.79,99.0,90.01,"[80.0, 0.79, 0.43, 0.33, 0.29]",2790,True
0.95,58826,108530,0,125,98.49,0.47,99.15,98.49,"[98.49, 0.47, 0.19, 0.18, 0.15]",73,False
0.9,58826,108530,0,8,99.31,0.47,99.31,99.31,"[99.31, 0.47, 0.2, 0.01, 0.01]",2,False
0.8,58826,108530,0,3,99.99,0.0,99.99,99.99,"[99.99, 0.0, 0.0]",1,False
