model,positive,none_match,host_only,subtype_only,year_only,host_subtype_only,host_year_only,subtype_year_only,host_subtype_year,unknown_metadata_neg
MLP,0.9772225055243924,0.988959907030796,0.9864061172472388,0.9855564995751912,0.974040632054176,0.9872557349192864,0.9727891156462584,0.9387755102040816,0.8722810931399888,1.0
logistic,0.0690124086350501,0.9479953515398024,0.9847068819031436,0.9804587935429055,0.9367945823927766,0.9983007646559048,0.9778911564625852,0.9846938775510204,0.9949804796430564,1.0
lgbm,0.9738228794832569,0.988959907030796,0.9855564995751912,0.9779099405267628,0.974040632054176,0.9728122344944776,0.967687074829932,0.8809523809523809,0.7730061349693251,1.0
knn1_margin,0.9768825429202788,0.9816966879721092,0.9855564995751912,0.983857264231096,0.9717832957110608,0.983857264231096,0.9693877551020408,0.9251700680272108,0.8443948689347462,1.0
knn_vote,0.9806221315655278,0.9816966879721092,0.9855564995751912,0.9779099405267628,0.9655756207674944,0.9770603228547152,0.9506802721088436,0.903061224489796,0.7936419408812047,0.9615384615384616
