replicon_type,function,canonical_segment,count
Large RNA Segment,RNA-dependent RNA polymerase,L,847
Segment One,RNA-dependent RNA polymerase,L,25
Medium RNA Segment,Pre-glycoprotein polyprotein GP complex,M,773
Small RNA Segment,Nucleocapsid protein,S,847
Segment Three,Nucleocapsid protein,S,25
Small RNA Segment,Bunyavirales small nonstructural protein NSs,S,446
