model,positive,none_match,host_only,subtype_only,year_only,host_subtype_only,host_year_only,subtype_year_only,host_subtype_year,unknown_metadata_neg
MLP,0.9700782046922816,0.9880089235917456,0.983843537414966,0.9872448979591836,0.972972972972973,0.9744897959183674,0.9540816326530612,0.9166666666666666,0.8341463414634146,0.9871794871794872
lgbm,0.9699081944916697,0.9860568878973788,0.9778911564625852,0.9846938775510204,0.9663437021927588,0.9702380952380952,0.9591836734693876,0.8775510204081632,0.7811846689895471,0.9615384615384616
knn1_margin,0.9733083985039104,0.9846625766871164,0.9761904761904762,0.9812925170068028,0.9678735339112696,0.979591836734694,0.9523809523809524,0.9302721088435374,0.8480836236933798,0.9615384615384616
knn_vote,0.9809588575314518,0.9799219185722252,0.96343537414966,0.9770408163265306,0.9546149923508416,0.971938775510204,0.9455782312925172,0.8996598639455783,0.797212543554007,0.9487179487179488
